condition,seed,round,trial,target,n_words,n_chars,correct,phase,description,audit
covert,202,7,54,S7,10,63,True,post_swap,"C-shape, internal dots, solid base, open left side. Distinct C.",
covert,202,7,55,S6,10,70,True,post_swap,"Tall, very diagonal, varied width, complex, jagged right side. Swirly.",
covert,202,7,56,S5,16,92,True,post_swap,"Anchor, wide base, jagged top left, thin shaft, distinct top left. Looks like a real anchor.",
covert,202,8,57,S3,11,68,True,post_swap,"Spiky top, wide middle bar, thin s-curve tail, vertical line bottom.",
covert,202,8,58,S4,10,70,True,post_swap,"Cone top, short straight trunk, thick middle, solid. Very symmetrical.",
covert,202,8,59,S7,10,69,True,post_swap,"C-shape, internal dots, solid base, open left side. Distinct C-shape.",
covert,202,8,60,S1,8,53,True,post_swap,"Tall thin, small offset head, triangular top. Narrow.",
covert,202,8,61,S2,15,87,True,post_swap,"Wide top bar, long stem, two internal dots, bottom right. Solid top bar. Distinct stem.",
covert,202,8,62,S5,14,85,True,post_swap,"Anchor, wide base, jagged top left, thin shaft, distinct top left. Very clear anchor.",
covert,202,8,63,S6,12,86,True,post_swap,"Tall, very diagonal, varied width, complex, jagged right side. Swirly, almost chaotic.",
covert,202,8,64,S8,1,10,True,post_swap,Hourglass.,
no_history,301,1,1,S3,9,49,False,pre_swap,Shape with the wide horizontal bar in the middle.,
no_history,301,1,2,S4,8,38,True,pre_swap,"The tall thin shape, like a pine tree.",
no_history,301,1,3,S7,8,37,True,pre_swap,Shape like a person with a wide base.,
no_history,301,1,4,S6,7,34,False,pre_swap,The shape that looks like a sword.,
no_history,301,1,5,S8,6,33,True,pre_swap,"The small shape, like a mushroom.",
no_history,301,1,6,S2,14,71,True,pre_swap,"Shape with a long horizontal bar at the top, and a vertical line below.",
no_history,301,1,7,S1,7,38,True,pre_swap,Shape like a candlestick with a flame.,
no_history,301,1,8,S5,11,52,True,pre_swap,The shape with a thick base and an arm sticking out.,
no_history,301,2,9,S7,3,15,False,pre_swap,Letter P shape.,
no_history,301,2,10,S3,2,13,False,pre_swap,Broken arrow.,
no_history,301,2,11,S6,4,24,False,pre_swap,Abstract head with neck.,
no_history,301,2,12,S1,5,28,False,pre_swap,Stick figure with long body.,
no_history,301,2,13,S4,6,33,False,pre_swap,"Tall person, wide top, thin body.",
no_history,301,2,14,S5,6,30,False,pre_swap,Abstract head on a solid base.,
no_history,301,2,15,S2,4,20,True,pre_swap,"Blocky T, long stem.",
no_history,301,2,16,S8,2,15,True,pre_swap,Christmas tree.,
no_history,301,3,17,S5,5,30,True,pre_swap,Horizontal line at the bottom.,
no_history,301,3,18,S8,7,36,True,pre_swap,Smallest shape with a head and body.,
no_history,301,3,19,S4,4,18,False,pre_swap,Person with a hat.,
no_history,301,3,20,S2,14,74,True,pre_swap,"Horizontal bar on top, with two short bars and a long vertical line below.",
no_history,301,3,21,S3,7,33,False,pre_swap,The one that looks like a person.,
no_history,301,3,22,S7,9,42,False,pre_swap,A C shape with a horizontal line below it.,
no_history,301,3,23,S1,5,26,False,pre_swap,Tall spear or arrow shape.,
no_history,301,3,24,S6,14,67,True,pre_swap,The one with a zig-zag line down the left and a messy bottom right.,
no_history,301,4,25,S8,9,46,False,pre_swap,"Blocky top, then an inverted V, then a column.",
no_history,301,4,26,S5,11,55,True,pre_swap,"L-hook top, then a long line, then a thick bottom line.",
no_history,301,4,27,S6,10,51,False,pre_swap,"Tall thin pole, then a wide bar, then messy bottom.",
no_history,301,4,28,S7,17,83,True,pre_swap,"Top left corner, then a long vertical pole with a few bumps, ending in a wide base.",
no_history,301,4,29,S1,7,41,False,pre_swap,"Scattered top, then a long vertical pole.",
no_history,301,4,30,S4,10,53,False,pre_swap,"Torch shape: narrow top, then wide, then a long stem.",
no_history,301,4,31,S3,9,52,False,pre_swap,"Diamond top, then wide bar, then a scattered bottom.",
no_history,301,4,32,S2,12,65,True,pre_swap,"Wide top bar, then two fork-like rows, then a long vertical line.",
no_history,301,5,33,S3,5,26,False,pre_swap,Figure with arms and legs.,
no_history,301,5,34,S6,11,63,False,pre_swap,Tall figure with a wide top and two distinct arm-like sections.,
no_history,301,5,35,S5,11,55,True,pre_swap,"L-shaped top, with a thick base and two lines below it.",
no_history,301,5,36,S1,10,47,True,pre_swap,"Top looks like a burst, with a single long leg.",
no_history,301,5,37,S2,8,35,True,pre_swap,Wide T shape with a long right leg.,
no_history,301,5,38,S4,11,66,False,pre_swap,"Figure with a small head, wide shoulders, and long, straight legs.",
no_history,301,5,39,S8,13,73,True,pre_swap,"Compact figure with a small head, wider body, then two small parts below.",
no_history,301,5,40,S7,11,51,False,pre_swap,"Head, long body, then a wide base with a small gap.",
no_history,301,6,41,S4,4,28,False,pre_swap,Tall slender Christmas tree.,
no_history,301,6,42,S2,9,49,True,pre_swap,"P-shaped, with a long vertical line on the right.",
no_history,301,6,43,S7,3,32,False,pre_swap,Left-leaning broken-stem flower.,
no_history,301,6,44,S1,12,66,False,pre_swap,"Top part is a small triangular shape, with a long stem underneath.",
no_history,301,6,45,S3,13,80,False,pre_swap,"Inverted V-top, wide horizontal bar, then narrows down with a zigzag right side.",
no_history,301,6,46,S8,13,67,True,pre_swap,"Abstract head shape, wider at the bottom, with a single dot on top.",
no_history,301,6,47,S6,18,89,False,pre_swap,"Zigzag shape, with a wider section in the middle, and a tail that moves to the far right.",
no_history,301,6,48,S5,14,81,True,pre_swap,"Blocky top-left, a long vertical line, and a wide horizontal bar near the bottom.",
no_history,302,1,1,S2,6,30,True,pre_swap,Wide L with two vertical legs.,
no_history,302,1,2,S4,5,33,False,pre_swap,Person-like shape with thin body.,
no_history,302,1,3,S8,2,15,True,pre_swap,Mushroom cloud.,
no_history,302,1,4,S5,6,29,False,pre_swap,"Tree with a wide, solid base.",
no_history,302,1,5,S1,7,37,True,pre_swap,Cloud-like top with a long thin stem.,
no_history,302,1,6,S6,7,45,True,pre_swap,Jagged left edge with scattered bottom right.,
no_history,302,1,7,S3,7,35,False,pre_swap,"Cross shape with a long, wide base.",
no_history,302,1,8,S7,9,48,False,pre_swap,Solid base with a vertical and jagged left side.,
no_history,302,2,9,S1,5,26,False,pre_swap,"Tall thin stem, wider top.",
no_history,302,2,10,S2,7,39,True,pre_swap,"Wide top bar, right side vertical line.",
no_history,302,2,11,S7,8,49,True,pre_swap,"F shape. Long left vertical, two horizontal bars.",
no_history,302,2,12,S6,5,36,True,pre_swap,"Complex top, scattered bottom right.",
no_history,302,2,13,S4,4,28,True,pre_swap,"Mushroom shape, single stem.",
no_history,302,2,14,S5,8,46,True,pre_swap,"Dense top, long bottom bar, small shape below.",
no_history,302,2,15,S3,3,21,False,pre_swap,Christmas tree shape.,
no_history,302,2,16,S8,6,38,True,pre_swap,"Compact, wider middle, single dot top.",
no_history,302,3,17,S2,9,43,True,pre_swap,"Wide bar at top, then a tall straight line.",
no_history,302,3,18,S1,5,22,False,pre_swap,Tree with a thin stem.,
no_history,302,3,19,S6,7,46,False,pre_swap,"Thin vertical zig-zag line, spreads at bottom.",
no_history,302,3,20,S8,5,32,False,pre_swap,"Double triangle, wide at bottom.",
no_history,302,3,21,S5,6,36,True,pre_swap,"Messy top, horizontal bar at bottom.",
no_history,302,3,22,S3,5,40,False,pre_swap,"Upside-down hammer, then scattered dots.",
no_history,302,3,23,S7,8,45,True,pre_swap,"Vertical line with branches, then a long bar.",
no_history,302,3,24,S4,11,53,True,pre_swap,"Jagged top, then a wide bar, then a long thin handle.",
no_history,302,4,25,S3,5,35,False,pre_swap,Candelabra person with spread arms.,
no_history,302,4,26,S1,10,50,False,pre_swap,Tall thin person with short arms and a small head.,
no_history,302,4,27,S7,8,42,False,pre_swap,H-shape with blocks at the top and bottom.,
no_history,302,4,28,S8,11,61,True,pre_swap,"Small person, wide top body, two short legs, single dot head.",
no_history,302,4,29,S4,11,60,True,pre_swap,Flamingo-like shape with a small head and a long single leg.,
no_history,302,4,30,S6,9,42,True,pre_swap,Zigzag column with a wide base and a tail.,
no_history,302,4,31,S5,8,54,False,pre_swap,Left-aligned blocky shape with a long horizontal base.,
no_history,302,4,32,S2,11,54,True,pre_swap,"Wide top bar, two short left legs, one long right leg.",
no_history,302,5,33,S3,4,28,False,pre_swap,"Hexagon-like top, long tail.",
no_history,302,5,34,S1,4,15,False,pre_swap,Flag on a pole.,
no_history,302,5,35,S8,2,15,False,pre_swap,Mushroom cloud.,
no_history,302,5,36,S2,5,27,True,pre_swap,"Wide top, long thin column.",
no_history,302,5,37,S6,5,29,True,pre_swap,"Jagged, like a broken ladder.",
no_history,302,5,38,S5,6,32,False,pre_swap,"Left side heavy, with wide base.",
no_history,302,5,39,S7,5,27,True,pre_swap,"Wide base, top left blocky.",
no_history,302,5,40,S4,2,8,False,pre_swap,Top hat.,
no_history,302,6,41,S1,5,27,True,pre_swap,"Tall thin body, small head.",
no_history,302,6,42,S4,10,56,False,pre_swap,"Person with a small head, wide shoulders, and long legs.",
no_history,302,6,43,S7,8,37,False,pre_swap,Person with a wide base and two feet.,
no_history,302,6,44,S6,11,60,True,pre_swap,"Wavy body, with a clear head and a distinct, scattered tail.",
no_history,302,6,45,S8,11,60,True,pre_swap,"Mushroom-shaped, with a wide cap and a base with two 'feet'.",
no_history,302,6,46,S3,10,52,False,pre_swap,"Person with a small head, wide body, and split legs.",
no_history,302,6,47,S2,7,36,True,pre_swap,Wide blocky top with four thin legs.,
no_history,302,6,48,S5,11,50,True,pre_swap,"Jagged top, with a long thin body and a wide base.",
